INFO    list of variables ['conv2d/kernel:0', 'Variable:0', 'Variable_1:0', 'conv2d_1/kernel:0', 'Variable_2:0', 'Variable_3:0', 'conv2d_2/kernel:0', 'Variable_4:0', 'Variable_5:0', 'dense/kernel:0', 'dense/bias:0', 'dense_1/kernel:0', 'dense_1/bias:0']
INFO    Epoch 3700: Loss: 0.011719598434865475, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.016122685745358467, accuracy: 0.9850000143051147
INFO    Epoch 3800: Loss: 0.010222896002233028, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.012499836273491383, accuracy: 0.9950000047683716
INFO    Epoch 3900: Loss: 0.013929849490523338, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.01520343217998743, accuracy: 0.9850000143051147
INFO    Epoch 4000: Loss: 0.016074296087026596, accuracy: 0.9800000190734863
INFO    (Test(batch):   Loss: 0.013738210313022137, accuracy: 0.9900000095367432
INFO    Epoch 4100: Loss: 0.015291818417608738, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.015224440954625607, accuracy: 0.9900000095367432
INFO    Epoch 4200: Loss: 0.014142119325697422, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.015253107063472271, accuracy: 0.9800000190734863
INFO    Epoch 4300: Loss: 0.012122370302677155, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.011300565674901009, accuracy: 0.9900000095367432
INFO    Epoch 4400: Loss: 0.0113252317532897, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.010094675235450268, accuracy: 0.9950000047683716
INFO    Epoch 4500: Loss: 0.014653739519417286, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.008776579052209854, accuracy: 1.0
INFO    Epoch 4600: Loss: 0.009156408719718456, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.011603746563196182, accuracy: 0.9850000143051147
INFO    Epoch 4700: Loss: 0.00838280376046896, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.012114040553569794, accuracy: 0.9800000190734863
INFO    Epoch 4800: Loss: 0.01111557986587286, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.011950841173529625, accuracy: 0.9950000047683716
INFO    Epoch 4900: Loss: 0.008180072531104088, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.009318913333117962, accuracy: 0.9900000095367432
INFO    Epoch 5000: Loss: 0.010646112263202667, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.008295832201838493, accuracy: 1.0
INFO    Epoch 5100: Loss: 0.009905828163027763, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.010247685946524143, accuracy: 0.9850000143051147
INFO    Epoch 5200: Loss: 0.007258381694555283, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.010988426394760609, accuracy: 0.9900000095367432
INFO    Epoch 5300: Loss: 0.01157918106764555, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.009057941846549511, accuracy: 0.9900000095367432
INFO    Epoch 5400: Loss: 0.012456286698579788, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.007221241947263479, accuracy: 0.9950000047683716
INFO    Epoch 5500: Loss: 0.009973067790269852, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.008032416924834251, accuracy: 0.9950000047683716
INFO    Epoch 5600: Loss: 0.011106331832706928, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.011894979514181614, accuracy: 0.9850000143051147
INFO    Epoch 5700: Loss: 0.013963736593723297, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.007877510040998459, accuracy: 0.9900000095367432
INFO    Epoch 5800: Loss: 0.007526850793510675, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.010560230351984501, accuracy: 0.9850000143051147
INFO    Epoch 5900: Loss: 0.01158086396753788, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.009319182485342026, accuracy: 0.9900000095367432
INFO    Epoch 6000: Loss: 0.007235791999846697, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.006295732222497463, accuracy: 1.0
INFO    Epoch 6100: Loss: 0.009684418328106403, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.007256849203258753, accuracy: 0.9950000047683716
INFO    Epoch 6200: Loss: 0.006267230026423931, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.010136684402823448, accuracy: 0.9900000095367432
INFO    Epoch 6300: Loss: 0.006967192981392145, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.011193998157978058, accuracy: 0.9850000143051147
INFO    Epoch 6400: Loss: 0.008712593466043472, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.0061747911386191845, accuracy: 0.9950000047683716
INFO    Epoch 6500: Loss: 0.006604545284062624, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.006522451061755419, accuracy: 0.9950000047683716
INFO    Epoch 6600: Loss: 0.006315786391496658, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.0068119848147034645, accuracy: 0.9950000047683716
INFO    Epoch 6700: Loss: 0.00974078569561243, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.010265768505632877, accuracy: 0.9800000190734863
INFO    Epoch 6800: Loss: 0.008239581249654293, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.009923836216330528, accuracy: 0.9950000047683716
INFO    Epoch 6900: Loss: 0.008345507085323334, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.014937184751033783, accuracy: 0.9800000190734863
INFO    Epoch 7000: Loss: 0.003995797131210566, accuracy: 1.0
