INFO    list of variables ['conv2d/kernel:0', 'Variable:0', 'Variable_1:0', 'conv2d_1/kernel:0', 'Variable_2:0', 'Variable_3:0', 'dense/kernel:0', 'dense/bias:0', 'dense_1/kernel:0', 'dense_1/bias:0', 'dense_2/kernel:0', 'dense_2/bias:0', 'dense_3/kernel:0', 'dense_3/bias:0']
INFO    Epoch 3700: Loss: 0.003939966671168804, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.007063956931233406, accuracy: 0.9900000095367432
INFO    Epoch 3800: Loss: 0.006509443745017052, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.007115860003978014, accuracy: 0.9900000095367432
INFO    Epoch 3900: Loss: 0.0012749390443786979, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.006199724040925503, accuracy: 0.9850000143051147
INFO    Epoch 4000: Loss: 0.007653340231627226, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.007524183951318264, accuracy: 0.9900000095367432
INFO    Epoch 4100: Loss: 0.006751685868948698, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.0030219268519431353, accuracy: 0.9950000047683716
INFO    Epoch 4200: Loss: 0.004388607107102871, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.005567042622715235, accuracy: 0.9900000095367432
INFO    Epoch 4300: Loss: 0.0022678005043417215, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.0025737222749739885, accuracy: 0.9950000047683716
INFO    Epoch 4400: Loss: 0.004607330076396465, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.004409400746226311, accuracy: 0.9950000047683716
INFO    Epoch 4500: Loss: 0.005270916037261486, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.015416624024510384, accuracy: 0.9900000095367432
INFO    Epoch 4600: Loss: 0.003654689993709326, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.006048084236681461, accuracy: 0.9850000143051147
INFO    Epoch 4700: Loss: 0.006149206310510635, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.0037556334864348173, accuracy: 0.9950000047683716
INFO    Epoch 4800: Loss: 0.008310786448419094, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.007073515094816685, accuracy: 0.9900000095367432
INFO    Epoch 4900: Loss: 0.005098015535622835, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.004122144542634487, accuracy: 0.9950000047683716
INFO    Epoch 5000: Loss: 0.009797587059438229, accuracy: 0.9850000143051147
INFO    (Test(batch):   Loss: 0.0014452192699536681, accuracy: 1.0
INFO    Epoch 5100: Loss: 0.011337502859532833, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.005670865066349506, accuracy: 0.9950000047683716
INFO    Epoch 5200: Loss: 0.006461198907345533, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.0066565657034516335, accuracy: 0.9950000047683716
INFO    Epoch 5300: Loss: 0.006117464043200016, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.006196980364620686, accuracy: 0.9850000143051147
INFO    Epoch 5400: Loss: 0.003966034390032291, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.0009144890354946256, accuracy: 1.0
INFO    Epoch 5500: Loss: 0.0031828484497964382, accuracy: 0.9900000095367432
INFO    (Test(batch):   Loss: 0.007271666545420885, accuracy: 0.9850000143051147
INFO    Epoch 5600: Loss: 0.0024671994615346193, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.005233560688793659, accuracy: 0.9900000095367432
INFO    Epoch 5700: Loss: 0.0029734447598457336, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.00826325174421072, accuracy: 0.9800000190734863
INFO    Epoch 5800: Loss: 0.005449758376926184, accuracy: 0.9950000047683716
INFO    (Test(batch):   Loss: 0.009504705667495728, accuracy: 0.9900000095367432
INFO    Epoch 5900: Loss: 0.0036874967627227306, accuracy: 1.0
INFO    (Test(batch):   Loss: 0.0019101379439234734, accuracy: 1.0
INFO    Epoch 6000: Loss: 0.00816463865339756, accuracy: 0.9900000095367432
